部屋(1:部屋、0:部屋以外),名前,オブジェクト名,x座標,y座標,隣接ノード(名前.重み)
1,講義棟101講義室,inter1,25,72,講義棟1-10_0.6
1,講義棟102講義室,inter1,25,127,講義棟1-11_0.6
1,講義棟103待機室,inter1,173,71,講義棟1-2_0.6
1,講義棟104講義室,inter1,173,128,講義棟1-1_0.6
0,講義棟1-1,inter1,145,128,講義棟104講義室_0.6,講義棟1-2_1.1
0,講義棟1-2,inter1,145,71,講義棟103待機室_0.6,講義棟1-1_1.1,講義棟1-13_0.5
0,講義棟1-3,inter1,145,42,講義棟1-5_0.9,講義棟1-13_0.1
0,講義棟1-4,inter1,164,48,講義棟1-13_0.4,講義棟2-4_2.0
0,講義棟1-5,inter1,100,42,講義棟1-3_0.9,講義棟1-6_1.2,講義棟1-7_2.0,講義棟1-8_0.9
0,講義棟1-6,inter1,100,-17,講義棟1-5_1.2,情報棟2-22_2.0,芸術棟2-25_2.0
0,講義棟1-7,inter1,100,144,講義棟1-5_2.0,講義棟2-20_2.0
0,講義棟1-8,inter1,55,42,講義棟1-5_0.9,講義棟1-12_0.1
0,講義棟1-9,inter1,35,48,講義棟1-12_0.4,講義棟2-11_2.0
0,講義棟1-10,inter1,55,72,講義棟101講義室_0.6,講義棟1-12_0.5,講義棟1-11_1.1
0,講義棟1-11,inter1,55,127,講義棟102講義室_0.6,講義棟1-10_1.1
0,講義棟1-12,inter1,55,48,講義棟1-8_0.1,講義棟1-9_0.4,講義棟1-10_0.5
0,講義棟1-13,inter1,145,48,講義棟1-2_0.5,講義棟1-3_0.1,講義棟1-4_0.4
1,講義棟201物理実験準備室,inter2,45,91,講義棟2-10_0.6
1,講義棟202講義室,inter2,45,155,講義棟2-12_0.6
1,講義棟203講義室,inter2,193,91,講義棟2-2_0.6
1,講義棟204講義室,inter2,193,155,講義棟2-1_0.6
0,講義棟2-1,inter2,165,155,講義棟204講義室_0.6,講義棟2-2_1.3,講義棟2-12_1.8
0,講義棟2-2,inter2,165,91,講義棟203講義室_0.6,講義棟2-1_1.3,講義棟2-18_0.5
0,講義棟2-3,inter2,165,65,講義棟2-5_0.3,講義棟2-18_0.1
0,講義棟2-4,inter2,183,69,講義棟2-18_0.4,講義棟1-4_2.0,講義棟3-24_2.0
